times,day,time,temp,hr
1,2022-12-23,18:57:42,22.3,95
2,2022-12-23,20:45:27,22.5,95
3,2022-12-23,20:45:59,22.5,95
4,2022-12-23,20:46:30,22.6,95
5,2022-12-23,20:47:02,22.5,95
6,2022-12-23,20:47:33,22.5,95
7,2022-12-23,20:48:06,22.5,95
8,2022-12-23,20:48:37,22.5,95
9,2022-12-23,20:49:10,22.5,95
10,2022-12-23,20:49:41,22.4,95
11,2022-12-23,20:50:13,22.4,95
12,2022-12-23,20:50:44,22.4,95
13,2022-12-23,20:51:18,22.4,95
14,2022-12-23,20:51:49,22.4,95
15,2022-12-23,20:52:22,22.4,95
16,2022-12-23,20:52:53,22.4,95
17,2022-12-23,20:53:25,22.3,95
18,2022-12-23,20:53:56,22.3,95
19,2022-12-23,20:54:28,22.3,95
20,2022-12-23,20:54:59,22.3,95
21,2022-12-23,20:55:32,22.3,95
22,2022-12-23,20:56:04,22.3,95
23,2022-12-23,20:56:35,22.3,95
24,2022-12-23,20:57:08,22.3,95
25,2022-12-23,20:57:39,22.3,95
26,2022-12-23,20:58:11,22.3,95
27,2022-12-23,20:58:42,22.2,95
28,2022-12-23,20:59:15,22.2,95
29,2022-12-23,20:59:47,22.2,95
30,2022-12-23,21:00:20,22.2,95
31,2022-12-23,21:00:52,22.2,95
32,2022-12-23,21:01:24,22.2,95
33,2022-12-23,21:01:57,22.1,95
34,2022-12-23,21:02:29,22.1,95
35,2022-12-23,21:03:00,22.1,95
36,2022-12-23,21:03:31,22.2,95
37,2022-12-23,21:04:04,22.1,95
38,2022-12-23,21:04:35,22.1,95
39,2022-12-23,21:05:08,22.2,95
40,2022-12-23,21:05:39,22.1,95
41,2022-12-23,21:06:12,22.2,95
42,2022-12-23,21:06:43,22.1,95
43,2022-12-23,21:07:16,22.1,95
44,2022-12-23,21:07:47,22.1,95
45,2022-12-23,21:08:19,22.1,95
46,2022-12-23,21:08:51,22.1,95
47,2022-12-23,21:09:24,22.1,95
48,2022-12-23,21:09:56,22.1,95
49,2022-12-23,21:10:27,22.1,95
50,2022-12-23,21:10:59,22.1,95
51,2022-12-23,21:11:32,22.1,95
52,2022-12-23,21:12:04,22.1,95
53,2022-12-23,21:12:36,22.1,95
54,2022-12-23,21:13:09,22.1,95
55,2022-12-23,21:13:41,22.1,95
