times,day,time,temp,hr
1,2022-12-29,20:22:10,21.6,80
2,2022-12-29,20:22:18,22.5,79
3,2022-12-29,20:22:37,22.6,79
4,2022-12-29,20:22:44,22.8,78
5,2022-12-29,20:22:53,22.9,78
6,2022-12-29,20:23:02,22.9,78
7,2022-12-29,20:23:10,23,78
8,2022-12-29,20:23:25,23.1,77
9,2022-12-29,20:23:33,23.2,77
10,2022-12-29,20:23:40,23.2,77
11,2022-12-29,20:24:02,23.2,76
12,2022-12-29,20:24:10,23.2,76
13,2022-12-29,20:24:25,23.4,76
14,2022-12-29,20:24:33,23.5,76
15,2022-12-29,20:24:40,23.5,76
16,2022-12-29,20:24:54,23.5,75
17,2022-12-29,20:25:03,23.6,75
18,2022-12-29,20:25:13,23.6,75
19,2022-12-29,20:25:21,23.6,75
20,2022-12-29,20:25:30,23.6,75
21,2022-12-29,20:25:41,23.6,75
22,2022-12-29,20:26:02,23.7,75
23,2022-12-29,20:26:11,23.7,75
24,2022-12-29,20:26:19,23.7,75
25,2022-12-29,20:26:27,23.7,74
26,2022-12-29,20:26:36,23.7,74
27,2022-12-29,20:26:47,23.7,74
28,2022-12-29,20:26:55,23.7,74
29,2022-12-29,20:27:14,23.8,74
30,2022-12-29,20:27:23,23.8,74
31,2022-12-29,20:27:34,23.8,74
32,2022-12-29,20:27:41,23.9,74
33,2022-12-29,20:27:49,23.8,74
34,2022-12-29,20:27:58,23.9,74
35,2022-12-29,20:28:22,23.9,74
36,2022-12-29,20:28:38,23.9,74
37,2022-12-29,20:28:47,23.9,74
38,2022-12-29,20:28:56,23.9,74
39,2022-12-29,20:29:06,24,74
40,2022-12-29,20:29:16,23.9,74
41,2022-12-29,20:29:23,23.9,74
42,2022-12-29,20:29:31,24,74
43,2022-12-29,20:29:38,23.9,74
44,2022-12-29,20:29:45,23.9,74
45,2022-12-29,20:29:53,24,74
46,2022-12-29,20:30:06,24,74
47,2022-12-29,20:30:18,24,74
48,2022-12-29,20:30:28,24,74
49,2022-12-29,20:30:35,24,74
50,2022-12-29,20:30:52,24,74
51,2022-12-29,20:30:59,24,74
52,2022-12-29,20:31:13,24,73
