times,day,time,temp,hr
1,2022-12-29,08:01:34,24.9,78
2,2022-12-29,11:17:33,22.6,85
3,2022-12-29,11:17:40,23.5,84
4,2022-12-29,11:17:48,23.5,83
5,2022-12-29,11:17:55,23.6,83
6,2022-12-29,11:18:02,23.7,83
7,2022-12-29,11:18:09,23.7,82
8,2022-12-29,11:18:16,23.8,82
9,2022-12-29,11:18:23,23.9,82
10,2022-12-29,11:18:30,23.9,81
11,2022-12-29,11:18:37,24,81
12,2022-12-29,11:18:44,24,81
13,2022-12-29,11:18:51,24,81
14,2022-12-29,11:18:58,24.1,81
15,2022-12-29,11:19:05,24.1,80
16,2022-12-29,11:19:12,24.1,80
17,2022-12-29,11:19:19,24.1,80
18,2022-12-29,11:19:26,24.2,80
19,2022-12-29,11:19:33,24.2,80
20,2022-12-29,11:19:40,24.2,80
21,2022-12-29,11:19:47,24.2,80
22,2022-12-29,11:19:54,24.2,79
23,2022-12-29,11:20:01,24.2,79
24,2022-12-29,11:20:08,24.2,79
25,2022-12-29,11:20:14,24.3,79
26,2022-12-29,11:20:21,24.3,79
27,2022-12-29,11:20:28,24.3,79
28,2022-12-29,11:20:37,24.3,79
29,2022-12-29,11:20:44,24.3,79
30,2022-12-29,11:20:51,24.3,79
31,2022-12-29,11:20:58,24.3,79
32,2022-12-29,11:21:06,24.3,78
33,2022-12-29,11:21:14,24.3,78
34,2022-12-29,11:21:21,24.4,78
35,2022-12-29,11:21:28,24.4,78
36,2022-12-29,11:21:36,24.4,78
37,2022-12-29,11:21:43,24.3,78
38,2022-12-29,11:21:50,24.4,78
39,2022-12-29,11:21:57,24.4,78
40,2022-12-29,11:22:04,24.3,78
41,2022-12-29,11:22:11,24.4,78
42,2022-12-29,11:22:18,24.4,78
43,2022-12-29,11:22:25,24.4,78
44,2022-12-29,11:22:32,24.4,78
45,2022-12-29,11:22:39,24.4,78
46,2022-12-29,11:22:46,24.4,78
47,2022-12-29,11:22:54,24.4,78
48,2022-12-29,11:23:01,24.4,78
49,2022-12-29,11:23:08,24.4,78
50,2022-12-29,11:23:15,24.5,78
51,2022-12-29,11:23:22,24.4,78
52,2022-12-29,11:23:29,24.5,78
53,2022-12-29,11:23:36,24.4,78
54,2022-12-29,11:23:43,24.4,78
55,2022-12-29,11:23:50,24.4,78
56,2022-12-29,11:23:57,24.4,78
57,2022-12-29,11:24:04,24.4,78
58,2022-12-29,11:24:11,24.5,78
