times,day,time,temp,hr
1,12/27/2022,8:23:51,24.7,77
2,12/27/2022,13:14:47,26.3,73
3,12/27/2022,13:14:59,26.3,73
4,12/27/2022,13:15:11,26.3,73
5,12/27/2022,13:15:23,26.3,73
6,12/27/2022,13:15:37,26.3,73
7,12/27/2022,13:15:49,26.3,73
8,12/27/2022,13:16:01,26.3,73
9,12/27/2022,13:16:13,26.3,73
10,12/27/2022,13:16:25,26.2,73
11,12/27/2022,13:16:37,26.2,73
12,12/27/2022,13:16:49,26.2,73
13,12/27/2022,13:17:01,26.2,73
14,12/27/2022,13:17:13,26.2,73
15,12/27/2022,13:17:25,26.2,73
16,12/27/2022,13:17:38,26.2,73
17,12/27/2022,13:17:50,26.1,73
18,12/27/2022,13:18:02,26.1,73
19,12/27/2022,13:18:15,26.1,73
20,12/27/2022,13:18:27,26.1,73
21,12/27/2022,13:18:39,26.1,73
22,12/27/2022,13:18:51,26.1,73
23,12/27/2022,13:19:03,26.1,73
24,12/27/2022,13:19:15,26.1,73
25,12/27/2022,13:19:27,26.1,73
26,12/27/2022,13:19:39,26.1,73
27,12/27/2022,13:19:51,26.1,73
28,12/27/2022,13:20:03,26.1,73
29,12/27/2022,13:20:15,26,73
30,12/27/2022,13:20:27,26,73
31,12/27/2022,13:20:40,26,73
32,12/27/2022,13:20:52,26,73
33,12/27/2022,13:21:04,26,74
34,12/27/2022,13:21:16,26,75
35,12/27/2022,13:21:28,26,75
36,12/27/2022,13:21:41,26,74
37,12/27/2022,13:21:53,26,74
38,12/27/2022,13:22:20,26,74
39,12/27/2022,13:22:32,26,74
40,12/27/2022,13:22:43,26,73
41,12/27/2022,13:22:55,26,73
42,12/27/2022,13:23:07,26,73
43,12/27/2022,13:23:19,26,73
44,12/27/2022,13:23:31,26,73
45,12/27/2022,13:23:44,26,74
46,12/27/2022,13:23:56,26,74
47,12/27/2022,13:24:08,26,74
48,12/27/2022,13:24:20,26,74
49,12/27/2022,13:24:32,26,74
50,12/27/2022,13:24:54,26.1,74
51,12/27/2022,13:25:07,26,75
52,12/27/2022,13:25:19,26,74
53,12/27/2022,13:25:31,26,74
54,12/27/2022,13:25:43,26,74
55,12/27/2022,13:25:56,26,74
56,12/27/2022,13:26:08,26,74
57,12/27/2022,13:26:20,26,74
58,12/27/2022,13:26:32,26,74
59,12/27/2022,13:26:44,26,74
60,12/27/2022,13:26:55,26,74
61,12/27/2022,13:27:07,26,73
