times,day,time,temp,hr
1,2022-12-21,20:05:28,20.8,93
2,2022-12-21,20:06:00,20.4,93
3,2022-12-21,20:06:32,20.4,93
4,2022-12-21,20:07:03,20.3,93
5,2022-12-21,20:07:36,20.3,93
6,2022-12-21,20:08:07,20.3,93
7,2022-12-21,20:08:39,20.3,93
8,2022-12-21,20:09:10,20.3,93
9,2022-12-21,20:09:43,20.3,93
10,2022-12-21,20:10:14,20.3,93
11,2022-12-21,20:10:46,20.2,93
12,2022-12-21,20:11:18,20.2,93
13,2022-12-21,20:11:50,20.2,93
14,2022-12-21,20:12:21,20.2,93
15,2022-12-21,20:12:54,20.1,93
16,2022-12-21,20:13:26,20.1,93
17,2022-12-21,20:13:57,20.1,93
18,2022-12-21,20:14:31,20.1,93
19,2022-12-21,20:15:03,20.1,93
20,2022-12-21,20:15:34,20.1,93
21,2022-12-21,20:16:07,20.1,93
22,2022-12-21,20:16:38,20.1,93
23,2022-12-21,20:17:10,20.1,93
24,2022-12-21,20:17:41,20,93
25,2022-12-21,20:18:13,20,93
26,2022-12-21,20:18:44,20,93
27,2022-12-21,20:19:17,20.1,93
28,2022-12-21,20:19:50,20.1,93
29,2022-12-21,20:20:23,20,93
30,2022-12-21,20:20:54,20,93
31,2022-12-21,20:21:26,20,93
32,2022-12-21,20:21:57,20,93
33,2022-12-21,20:22:31,20,93
34,2022-12-21,20:23:02,20,93
35,2022-12-21,20:23:35,20,93
36,2022-12-21,20:24:06,20,93
37,2022-12-21,20:24:38,20,93
38,2022-12-21,20:25:09,20,93
39,2022-12-21,20:25:42,19.9,93
40,2022-12-21,20:26:13,20,93
41,2022-12-21,20:26:45,19.9,93
42,2022-12-21,20:27:18,19.9,93
43,2022-12-21,20:27:50,19.9,93
44,2022-12-21,20:28:21,19.9,93
45,2022-12-21,20:28:54,19.9,93
46,2022-12-21,20:29:27,19.9,93
47,2022-12-21,20:29:59,19.9,93
48,2022-12-21,20:30:32,19.9,93
49,2022-12-21,20:31:04,19.9,93
50,2022-12-21,20:31:35,19.9,93
51,2022-12-21,20:32:08,19.9,93
52,2022-12-21,20:32:43,19.9,93
53,2022-12-21,20:33:15,19.8,93
54,2022-12-21,20:33:46,19.8,93
55,2022-12-21,20:34:19,19.8,93
56,2022-12-21,20:34:50,19.8,93
57,2022-12-21,20:35:23,19.8,93
58,2022-12-21,20:35:56,19.8,93
59,2022-12-21,20:36:28,19.8,93
60,2022-12-21,20:37:02,19.8,93
61,2022-12-21,20:37:33,19.8,93
62,2022-12-21,20:38:05,19.8,93
63,2022-12-21,20:38:36,19.8,93
64,2022-12-21,20:39:09,19.8,93
65,2022-12-21,20:39:40,19.8,93
66,2022-12-21,20:40:13,19.8,93
67,2022-12-21,20:40:46,19.8,93
68,2022-12-21,20:41:19,19.8,93
69,2022-12-21,20:41:50,19.8,93
70,2022-12-21,20:42:22,19.8,93
71,2022-12-21,20:42:53,19.8,93
72,2022-12-21,20:43:26,19.8,93
73,2022-12-21,20:43:57,19.8,93
74,2022-12-21,20:44:29,19.8,93
75,2022-12-21,20:45:00,19.8,93
76,2022-12-21,20:45:33,19.8,93
77,2022-12-21,20:46:05,19.8,93
78,2022-12-21,20:46:37,19.8,93
79,2022-12-21,20:47:09,19.7,93
80,2022-12-21,20:47:40,19.8,93
81,2022-12-21,20:48:13,19.7,93
82,2022-12-21,20:48:46,19.7,93
83,2022-12-21,20:49:17,19.7,93
84,2022-12-21,20:49:50,19.7,93
85,2022-12-21,20:50:23,19.7,93
86,2022-12-21,20:50:54,19.7,93
87,2022-12-21,20:51:26,19.7,93
88,2022-12-21,20:51:57,19.7,93
89,2022-12-21,20:52:30,19.7,93
90,2022-12-21,20:53:02,19.7,93
91,2022-12-21,20:53:33,19.7,93
92,2022-12-21,20:54:06,19.7,93
93,2022-12-21,20:54:37,19.7,93
94,2022-12-21,20:55:09,19.7,93
95,2022-12-21,20:55:40,19.7,93
96,2022-12-21,20:56:13,19.7,93
97,2022-12-21,20:56:44,19.7,93
