times,day,time,temp,hr
1,2022-12-25,11:40:08,23.7,95
2,2022-12-25,11:40:19,23.7,95
3,2022-12-25,11:40:31,23.8,95
4,2022-12-25,11:40:54,23.9,95
5,2022-12-25,11:41:06,24,95
6,2022-12-25,11:41:18,24,95
7,2022-12-25,11:41:30,24.1,95
8,2022-12-25,11:41:41,24.1,95
9,2022-12-25,11:41:54,24,95
10,2022-12-25,11:42:07,23.9,95
11,2022-12-25,11:42:19,23.9,95
12,2022-12-25,11:42:50,23.9,95
13,2022-12-25,11:43:02,23.8,95
14,2022-12-25,11:43:24,23.7,95
15,2022-12-25,11:43:35,23.7,95
16,2022-12-25,11:43:47,23.6,95
17,2022-12-25,11:43:59,23.6,95
18,2022-12-25,11:44:11,23.6,95
19,2022-12-25,11:44:23,23.6,95
20,2022-12-25,11:44:35,23.6,95
21,2022-12-25,11:44:47,23.5,95
22,2022-12-25,11:44:59,23.5,95
23,2022-12-25,11:45:11,23.5,95
24,2022-12-25,11:45:24,23.5,95
25,2022-12-25,11:45:36,23.5,95
26,2022-12-25,11:45:47,23.4,95
27,2022-12-25,11:46:00,23.4,95
28,2022-12-25,11:46:12,23.4,95
29,2022-12-25,11:46:25,23.4,95
30,2022-12-25,11:46:37,23.4,95
31,2022-12-25,11:46:48,23.4,95
32,2022-12-25,11:47:00,23.4,95
33,2022-12-25,11:47:12,23.4,95
34,2022-12-25,11:47:24,23.3,95
35,2022-12-25,11:47:36,23.3,95
36,2022-12-25,11:47:48,23.3,95
37,2022-12-25,11:47:59,23.3,95
38,2022-12-25,11:48:11,23.3,95
39,2022-12-25,11:48:23,23.3,95
40,2022-12-25,11:48:35,23.3,95
41,2022-12-25,11:48:46,23.3,95
42,2022-12-25,11:48:58,23.3,95
43,2022-12-25,11:49:10,23.3,95
44,2022-12-25,11:49:22,23.3,95
45,2022-12-25,11:49:34,23.2,95
46,2022-12-25,11:49:45,23.2,95
47,2022-12-25,11:49:57,23.2,95
48,2022-12-25,11:50:11,23.2,95
49,2022-12-25,11:50:22,23.2,95
50,2022-12-25,11:50:34,23.2,95
51,2022-12-25,11:50:46,23.2,95
52,2022-12-25,11:50:58,23.2,95
53,2022-12-25,11:51:09,23.2,95
54,2022-12-25,11:51:21,23.2,95
55,2022-12-25,11:51:33,23.2,95
56,2022-12-25,11:51:45,23.2,95
57,2022-12-25,11:51:57,23.2,95
58,2022-12-25,11:52:09,23.2,95
59,2022-12-25,11:52:21,23.2,95
60,2022-12-25,11:52:32,23.2,95
61,2022-12-25,11:52:44,23.2,95
62,2022-12-25,11:52:56,23.2,95
63,2022-12-25,11:53:07,23.1,95
64,2022-12-25,11:53:19,23.1,95
65,2022-12-25,11:53:32,23.1,95
66,2022-12-25,11:53:43,23.1,95
67,2022-12-25,11:53:56,23.1,95
68,2022-12-25,11:54:08,23.1,95
69,2022-12-25,11:54:20,23.1,95
70,2022-12-25,11:54:32,23.1,95
71,2022-12-25,11:54:43,23.1,95
72,2022-12-25,11:54:55,23.1,95
73,2022-12-25,11:55:07,23.1,95
74,2022-12-25,11:55:19,23.1,95
75,2022-12-25,11:55:30,23.1,95
76,2022-12-25,11:55:41,23.1,95
77,2022-12-25,11:55:53,23.1,95
78,2022-12-25,11:56:05,23.1,95
79,2022-12-25,11:56:17,23.1,95
80,2022-12-25,11:56:30,23.1,95
81,2022-12-25,11:56:42,23.1,95
82,2022-12-25,11:56:55,23,95
83,2022-12-25,11:57:06,23.1,95
84,2022-12-25,11:57:19,23.1,95
85,2022-12-25,11:57:31,23.1,95
86,2022-12-25,11:57:43,23.1,95
87,2022-12-25,11:57:55,23,95
88,2022-12-25,11:58:07,23,95
89,2022-12-25,11:58:19,23,95
90,2022-12-25,11:58:30,23,95
91,2022-12-25,11:58:42,23,95
92,2022-12-25,11:58:54,23,95
93,2022-12-25,11:59:06,23,95
94,2022-12-25,11:59:18,23,95
95,2022-12-25,11:59:29,23,95
96,2022-12-25,11:59:41,23,95
97,2022-12-25,11:59:53,23,95
98,2022-12-25,12:00:05,23,95
99,2022-12-25,12:00:16,23,95
100,2022-12-25,12:00:29,23,95
101,2022-12-25,12:00:40,23,95
102,2022-12-25,12:00:52,23,95
103,2022-12-25,12:01:04,23,95
104,2022-12-25,12:01:16,23,95
105,2022-12-25,12:01:30,23,95
106,2022-12-25,12:01:41,23,95
107,2022-12-25,12:01:53,23,95
108,2022-12-25,12:02:05,23,95
109,2022-12-25,12:02:17,23,95
110,2022-12-25,12:02:29,23,95
111,2022-12-25,12:02:41,23,95
112,2022-12-25,12:02:53,23,95
113,2022-12-25,12:03:05,23,95
114,2022-12-25,12:03:17,23,95
115,2022-12-25,12:03:28,23,95
116,2022-12-25,12:03:40,23,95
117,2022-12-25,12:03:51,23,95
118,2022-12-25,12:04:04,23,95
119,2022-12-25,12:04:16,23,95
120,2022-12-25,12:04:29,23,95
121,2022-12-25,12:04:42,23,95
122,2022-12-25,12:04:54,23,95
123,2022-12-25,12:05:05,23,95
124,2022-12-25,12:05:17,23,95
125,2022-12-25,12:05:29,23,95
126,2022-12-25,12:05:41,23,95
127,2022-12-25,12:05:54,23,95
128,2022-12-25,12:06:05,23,95
129,2022-12-25,12:06:18,23,95
130,2022-12-25,12:06:30,23,95
131,2022-12-25,12:06:42,23,95
132,2022-12-25,12:06:54,23,95
133,2022-12-25,12:07:05,23,95
134,2022-12-25,12:07:17,23,95
135,2022-12-25,12:07:30,23,95
136,2022-12-25,12:07:42,23,95
137,2022-12-25,12:07:53,23,95
138,2022-12-25,12:08:06,23,95
139,2022-12-25,12:08:18,23,95
140,2022-12-25,12:08:29,23,95
141,2022-12-25,12:08:41,23,95
142,2022-12-25,12:08:53,22.9,95
143,2022-12-25,12:09:05,23,95
144,2022-12-25,12:09:16,23,95
145,2022-12-25,12:09:28,23,95
146,2022-12-25,12:09:40,22.9,95
147,2022-12-25,12:09:51,22.9,95
148,2022-12-25,12:10:03,22.9,95
149,2022-12-25,12:10:15,22.9,95
150,2022-12-25,12:10:27,22.9,95
151,2022-12-25,12:10:39,22.9,95
152,2022-12-25,12:10:50,22.9,95
153,2022-12-25,12:11:03,22.9,95
154,2022-12-25,12:11:15,22.9,95
155,2022-12-25,12:11:27,22.9,95
156,2022-12-25,12:11:41,22.9,95
157,2022-12-25,12:11:53,22.9,95
158,2022-12-25,12:12:05,22.9,95
159,2022-12-25,12:12:17,22.9,95
160,2022-12-25,12:12:29,22.9,95
161,2022-12-25,12:12:42,22.9,95
162,2022-12-25,12:12:54,22.9,95
163,2022-12-25,12:13:07,22.9,95
164,2022-12-25,12:13:19,22.9,95
165,2022-12-25,12:13:31,22.9,95
166,2022-12-25,12:13:43,22.9,95
167,2022-12-25,12:13:54,22.9,95
168,2022-12-25,12:14:06,22.9,95
169,2022-12-25,12:14:18,22.9,95
170,2022-12-25,12:14:30,22.9,95
171,2022-12-25,12:14:42,22.9,95
172,2022-12-25,12:14:55,22.9,95
173,2022-12-25,12:15:06,22.9,95
174,2022-12-25,12:15:18,22.9,95
175,2022-12-25,12:15:30,22.9,95
176,2022-12-25,12:15:42,22.9,95
177,2022-12-25,12:15:55,22.9,95
178,2022-12-25,12:16:06,22.9,95
179,2022-12-25,12:16:18,22.9,95
180,2022-12-25,12:16:31,22.9,95
181,2022-12-25,12:16:43,22.9,95
182,2022-12-25,12:16:56,22.9,95
183,2022-12-25,12:17:08,22.9,95
184,2022-12-25,12:17:21,22.9,95
185,2022-12-25,12:17:32,22.9,95
186,2022-12-25,12:17:45,22.9,95
187,2022-12-25,12:17:57,22.9,95
188,2022-12-25,12:18:09,22.9,95
189,2022-12-25,12:18:21,22.9,95
190,2022-12-25,12:18:34,22.9,95
191,2022-12-25,12:18:46,22.9,95
192,2022-12-25,12:18:57,22.9,95
193,2022-12-25,12:19:09,22.9,95
194,2022-12-25,12:19:21,22.9,95
195,2022-12-25,12:19:33,22.9,95
196,2022-12-25,12:19:45,22.9,95
197,2022-12-25,12:19:56,22.9,95
198,2022-12-25,12:20:08,22.9,95
199,2022-12-25,12:20:20,22.9,95
200,2022-12-25,12:20:32,22.9,95
201,2022-12-25,12:20:43,22.9,95
202,2022-12-25,12:20:56,22.9,95
203,2022-12-25,12:21:07,22.9,95
204,2022-12-25,12:21:19,22.9,95
205,2022-12-25,12:21:31,22.9,95
206,2022-12-25,12:21:43,22.9,95
207,2022-12-25,12:21:54,22.9,95
208,2022-12-25,12:22:07,22.9,95
209,2022-12-25,12:22:18,22.9,95
210,2022-12-25,12:22:31,22.9,95
211,2022-12-25,12:22:43,22.9,95
212,2022-12-25,12:22:56,22.9,95
213,2022-12-25,12:23:09,22.9,95
214,2022-12-25,12:23:20,22.9,95
215,2022-12-25,12:23:33,22.9,95
216,2022-12-25,12:23:45,22.9,95
217,2022-12-25,12:23:58,22.9,95
218,2022-12-25,12:24:10,22.9,95
219,2022-12-25,12:24:22,22.9,95
220,2022-12-25,12:24:33,22.9,95
221,2022-12-25,12:24:45,22.9,95
222,2022-12-25,12:24:57,22.9,95
223,2022-12-25,12:25:09,22.9,95
224,2022-12-25,12:25:20,22.9,95
225,2022-12-25,12:25:33,22.9,95
226,2022-12-25,12:25:44,22.9,95
227,2022-12-25,12:25:56,22.9,95
