times,day,time,temp,hr
1,2022-12-24,14:27:48,22.8,95
2,2022-12-24,14:47:58,23,95
3,2022-12-24,14:48:30,22.9,95
4,2022-12-24,14:49:02,22.9,95
5,2022-12-24,14:49:34,22.9,95
6,2022-12-24,14:50:07,22.9,95
7,2022-12-24,14:50:38,22.9,95
8,2022-12-24,14:51:11,22.9,95
9,2022-12-24,14:51:42,22.9,95
10,2022-12-24,14:52:15,22.9,95
11,2022-12-24,14:52:46,23,95
12,2022-12-24,14:53:19,23,95
13,2022-12-24,14:53:50,23,95
14,2022-12-24,14:54:24,23,95
15,2022-12-24,14:54:55,23,95
16,2022-12-24,14:55:29,23,95
17,2022-12-24,14:56:00,23,95
18,2022-12-24,14:56:38,23,95
19,2022-12-24,14:57:10,23,95
20,2022-12-24,14:57:43,23,95
21,2022-12-24,14:58:16,23,95
22,2022-12-24,14:58:49,23,95
23,2022-12-24,14:59:20,23,95
24,2022-12-24,14:59:55,23,95
25,2022-12-24,15:00:27,23.1,95
26,2022-12-24,15:00:58,23.1,95
27,2022-12-24,15:01:31,23.1,95
28,2022-12-24,15:02:03,23.1,95
29,2022-12-24,15:02:37,23.1,95
30,2022-12-24,15:03:08,23.1,95
31,2022-12-24,15:03:40,23.1,95
32,2022-12-24,15:04:11,23.1,95
33,2022-12-24,15:04:44,23.1,95
34,2022-12-24,15:05:15,23.1,95
35,2022-12-24,15:05:47,23.1,95
36,2022-12-24,15:06:18,23.2,95
37,2022-12-24,15:06:52,23.2,95
38,2022-12-24,15:07:23,23.2,95
39,2022-12-24,15:07:59,23.2,95
40,2022-12-24,15:08:32,23.2,95
41,2022-12-24,15:09:08,23.2,95
42,2022-12-24,15:09:40,23.2,95
43,2022-12-24,15:10:12,23.2,95
44,2022-12-24,15:10:43,23.2,95
45,2022-12-24,15:11:17,23.2,95
46,2022-12-24,15:11:48,23.3,95
47,2022-12-24,15:12:21,23.9,95
48,2022-12-24,15:12:52,24.9,95
49,2022-12-24,15:13:25,24.1,95
50,2022-12-24,15:13:57,23.8,95
51,2022-12-24,15:14:31,23.7,95
52,2022-12-24,15:15:03,23.5,95
53,2022-12-24,15:15:35,23.5,95
54,2022-12-24,15:16:06,23.4,95
55,2022-12-24,15:16:38,23.3,95
56,2022-12-24,15:17:09,23.3,95
57,2022-12-24,15:17:42,23.2,95
58,2022-12-24,15:18:13,23.1,95
59,2022-12-24,15:18:45,23.1,95
60,2022-12-24,15:19:16,23.1,95
61,2022-12-24,15:19:49,23.1,95
62,2022-12-24,15:20:21,23.1,95
63,2022-12-24,15:20:54,23.1,95
64,2022-12-24,15:21:26,23,95
65,2022-12-24,15:22:00,23,95
66,2022-12-24,15:22:33,23.1,95
67,2022-12-24,15:23:06,23.1,95
68,2022-12-24,15:23:37,23.1,95
69,2022-12-24,15:24:31,23.1,95
70,2022-12-24,15:25:03,23.1,95
71,2022-12-24,15:25:34,23.1,95
72,2022-12-24,15:26:08,23.1,95
73,2022-12-24,15:26:40,23.1,95
74,2022-12-24,15:27:12,23.1,95
75,2022-12-24,15:27:43,23.1,95
76,2022-12-24,15:28:15,23.1,95
77,2022-12-24,15:28:46,23.1,95
78,2022-12-24,15:29:21,23.1,95
79,2022-12-24,15:29:56,23.1,95
80,2022-12-24,15:30:28,23.1,95
81,2022-12-24,15:31:00,23.1,95
82,2022-12-24,15:31:32,23.6,95
83,2022-12-24,15:32:03,23.7,95
84,2022-12-24,15:32:34,23.7,95
85,2022-12-24,15:33:09,23.6,95
86,2022-12-24,15:33:46,23.5,95
87,2022-12-24,15:34:18,23.4,95
88,2022-12-24,15:34:53,23.4,95
89,2022-12-24,15:35:43,23.4,95
90,2022-12-24,15:36:17,23.3,95
91,2022-12-24,15:36:49,23.3,95
92,2022-12-24,15:37:23,23.4,95
93,2022-12-24,15:38:03,23.5,95
94,2022-12-24,15:38:36,23.5,95
95,2022-12-24,15:39:08,23.4,95
96,2022-12-24,15:39:41,23.4,95
97,2022-12-24,15:40:17,23.4,95
98,2022-12-24,15:40:49,23.4,95
99,2022-12-24,15:41:21,23.4,95
100,2022-12-24,15:41:52,23.3,95
101,2022-12-24,15:42:25,23.3,95
102,2022-12-24,15:42:56,23.3,95
103,2022-12-24,15:43:28,23.3,95
104,2022-12-24,15:43:59,23.3,95
105,2022-12-24,15:44:32,23.3,95
106,2022-12-24,15:45:04,23.3,95
107,2022-12-24,15:45:36,23.3,95
108,2022-12-24,15:46:07,23.2,95
109,2022-12-24,15:46:39,23.3,95
110,2022-12-24,15:47:10,23.3,95
111,2022-12-24,15:47:43,23.3,95
112,2022-12-24,15:48:14,23.3,95
113,2022-12-24,15:48:46,23.3,95
114,2022-12-24,15:49:17,23.3,95
115,2022-12-24,15:49:50,23.3,95
116,2022-12-24,15:50:22,23.3,95
117,2022-12-24,15:50:53,23.2,95
118,2022-12-24,15:51:26,23.3,95
119,2022-12-24,15:51:57,23.3,95
120,2022-12-24,15:52:29,23.3,95
121,2022-12-24,15:53:00,23.3,95
122,2022-12-24,15:53:33,23.3,95
123,2022-12-24,15:54:09,23.3,95
124,2022-12-24,15:54:41,23.2,95
125,2022-12-24,15:55:12,23.2,95
126,2022-12-24,15:55:45,23.2,95
127,2022-12-24,15:56:17,23.2,95
128,2022-12-24,15:56:49,23.2,95
129,2022-12-24,15:57:20,23.2,95
130,2022-12-24,15:57:53,23.2,95
131,2022-12-24,15:58:27,23.2,95
132,2022-12-24,15:58:59,23.2,95
133,2022-12-24,15:59:31,23.2,95
134,2022-12-24,16:00:04,23.2,95
135,2022-12-24,16:00:37,23.2,95
136,2022-12-24,16:01:09,23.2,95
137,2022-12-24,16:01:42,23.2,95
138,2022-12-24,16:02:13,23.2,95
139,2022-12-24,16:02:45,23.2,95
140,2022-12-24,16:03:17,23.2,95
141,2022-12-24,16:03:49,23.2,95
142,2022-12-24,16:04:20,23.2,95
143,2022-12-24,16:04:53,23.2,95
144,2022-12-24,16:05:26,23.3,95
145,2022-12-24,16:05:57,23.3,95
146,2022-12-24,16:06:29,23.3,95
147,2022-12-24,16:07:00,23.3,95
148,2022-12-24,16:07:33,23.3,95
149,2022-12-24,16:08:04,23.3,95
150,2022-12-24,16:08:36,23.3,95
151,2022-12-24,16:09:07,23.3,95
152,2022-12-24,16:09:40,23.3,95
153,2022-12-24,16:10:12,23.3,95
154,2022-12-24,16:10:43,23.3,95
