times,day,time,temp,hr
1,2022-12-25,08:41:35,21.6,94
2,2022-12-25,08:41:47,21.7,94
3,2022-12-25,08:41:59,21.8,94
4,2022-12-25,08:42:10,21.8,94
5,2022-12-25,08:42:23,21.8,94
6,2022-12-25,08:42:36,21.8,94
7,2022-12-25,08:42:48,21.8,94
8,2022-12-25,08:43:00,21.8,94
9,2022-12-25,08:43:11,21.8,94
10,2022-12-25,08:43:23,21.8,94
11,2022-12-25,08:43:35,21.8,94
12,2022-12-25,08:43:47,21.8,94
13,2022-12-25,08:43:59,22.4,95
14,2022-12-25,08:44:11,22.7,95
15,2022-12-25,08:44:23,22.8,95
16,2022-12-25,08:44:35,22.8,95
17,2022-12-25,08:44:47,22.7,95
18,2022-12-25,08:45:15,22.7,95
19,2022-12-25,08:45:27,22.5,95
20,2022-12-25,08:45:39,22.4,95
21,2022-12-25,08:45:52,22.4,95
22,2022-12-25,08:46:04,22.3,95
23,2022-12-25,08:46:16,22.3,95
24,2022-12-25,08:46:28,22.3,95
25,2022-12-25,08:46:50,22.2,95
26,2022-12-25,08:47:01,22.2,95
27,2022-12-25,08:47:13,22.1,95
28,2022-12-25,08:47:25,22.1,95
29,2022-12-25,08:47:37,22.1,95
30,2022-12-25,08:47:49,22.1,95
31,2022-12-25,08:48:00,22.1,95
32,2022-12-25,08:48:12,22,95
33,2022-12-25,08:48:24,22,95
34,2022-12-25,08:48:36,22,95
35,2022-12-25,08:48:48,22,95
36,2022-12-25,08:48:59,22,95
37,2022-12-25,08:49:11,22,95
38,2022-12-25,08:49:23,21.9,94
39,2022-12-25,08:49:35,21.9,94
40,2022-12-25,08:49:47,21.9,94
41,2022-12-25,08:49:59,21.9,94
42,2022-12-25,08:50:12,21.9,94
43,2022-12-25,08:50:23,21.9,94
44,2022-12-25,08:50:38,21.9,94
45,2022-12-25,08:50:51,21.9,94
46,2022-12-25,08:51:03,21.9,94
47,2022-12-25,08:51:15,21.9,94
48,2022-12-25,08:51:27,21.8,94
49,2022-12-25,08:51:39,21.8,94
50,2022-12-25,08:51:51,21.8,94
51,2022-12-25,08:52:03,21.9,94
52,2022-12-25,08:52:14,21.8,94
53,2022-12-25,08:52:27,21.8,94
54,2022-12-25,08:52:39,21.8,94
55,2022-12-25,08:52:51,21.8,94
56,2022-12-25,08:53:03,21.8,94
57,2022-12-25,08:53:15,21.8,94
58,2022-12-25,08:53:27,21.8,94
59,2022-12-25,08:53:38,21.8,94
60,2022-12-25,08:53:50,21.8,94
61,2022-12-25,08:54:03,21.8,94
62,2022-12-25,08:54:15,21.8,94
63,2022-12-25,08:54:40,21.8,94
64,2022-12-25,08:54:53,21.8,94
65,2022-12-25,08:55:05,21.8,94
66,2022-12-25,08:55:18,21.8,94
67,2022-12-25,08:55:29,21.8,94
68,2022-12-25,08:55:42,21.8,94
69,2022-12-25,08:55:55,21.8,94
70,2022-12-25,08:56:07,21.8,94
71,2022-12-25,08:56:19,21.8,94
72,2022-12-25,08:56:30,21.8,94
73,2022-12-25,08:56:42,21.8,94
74,2022-12-25,08:56:54,21.8,94
75,2022-12-25,08:57:06,21.8,94
76,2022-12-25,08:57:18,21.8,94
77,2022-12-25,08:57:30,21.8,94
78,2022-12-25,08:57:41,21.8,94
79,2022-12-25,08:57:53,21.8,94
80,2022-12-25,08:58:05,21.9,94
81,2022-12-25,08:58:16,21.8,94
82,2022-12-25,08:58:29,21.8,94
83,2022-12-25,08:58:41,21.8,94
84,2022-12-25,08:59:23,21.8,94
85,2022-12-25,08:59:36,21.8,94
86,2022-12-25,08:59:48,21.8,94
87,2022-12-25,09:00:01,21.8,94
88,2022-12-25,09:00:12,21.8,94
89,2022-12-25,09:00:26,21.8,94
90,2022-12-25,09:00:38,21.8,94
91,2022-12-25,09:00:50,21.8,94
92,2022-12-25,09:01:02,21.8,94
93,2022-12-25,09:01:15,21.8,94
94,2022-12-25,09:01:28,21.8,94
95,2022-12-25,09:01:39,21.8,94
96,2022-12-25,09:01:51,21.8,94
97,2022-12-25,09:02:31,21.8,94
98,2022-12-25,09:02:44,21.8,94
99,2022-12-25,09:02:55,21.8,94
100,2022-12-25,09:03:07,21.8,94
101,2022-12-25,09:03:19,21.8,94
102,2022-12-25,09:03:32,21.8,94
103,2022-12-25,09:03:45,21.8,94
104,2022-12-25,09:03:58,21.8,94
105,2022-12-25,09:04:11,21.8,94
106,2022-12-25,09:04:24,21.8,94
107,2022-12-25,09:04:35,21.9,94
108,2022-12-25,09:04:47,21.8,94
109,2022-12-25,09:04:59,21.8,94
110,2022-12-25,09:05:11,21.9,94
111,2022-12-25,09:05:22,21.9,94
112,2022-12-25,09:05:54,21.9,94
113,2022-12-25,09:06:07,21.8,94
114,2022-12-25,09:06:19,21.9,94
115,2022-12-25,09:06:32,21.8,94
116,2022-12-25,09:06:43,21.8,94
117,2022-12-25,09:06:56,21.9,94
118,2022-12-25,09:07:32,21.9,94
119,2022-12-25,09:07:44,21.8,94
120,2022-12-25,09:07:56,21.9,94
121,2022-12-25,09:08:08,21.9,94
122,2022-12-25,09:08:20,21.9,94
123,2022-12-25,09:08:31,21.9,94
124,2022-12-25,09:08:47,21.9,94
125,2022-12-25,09:09:00,21.9,94
126,2022-12-25,09:09:12,21.9,94
127,2022-12-25,09:09:25,21.9,94
128,2022-12-25,09:09:36,21.9,94
129,2022-12-25,09:09:48,21.8,94
130,2022-12-25,09:10:00,21.8,94
131,2022-12-25,09:10:12,21.8,94
132,2022-12-25,09:10:24,21.9,94
133,2022-12-25,09:10:36,21.8,94
134,2022-12-25,09:10:48,21.9,94
135,2022-12-25,09:11:00,21.9,94
136,2022-12-25,09:11:12,21.9,94
137,2022-12-25,09:11:24,21.9,94
138,2022-12-25,09:11:35,21.9,94
139,2022-12-25,09:11:46,21.9,94
140,2022-12-25,09:12:09,21.9,94
141,2022-12-25,09:12:21,21.9,94
142,2022-12-25,09:12:34,21.9,94
143,2022-12-25,09:12:47,21.9,94
144,2022-12-25,09:12:59,21.9,94
145,2022-12-25,09:13:11,21.9,94
146,2022-12-25,09:13:23,21.9,94
147,2022-12-25,09:13:40,21.9,94
148,2022-12-25,09:13:51,21.9,94
149,2022-12-25,09:14:04,21.9,94
150,2022-12-25,09:14:16,21.9,94
151,2022-12-25,09:14:29,21.9,94
152,2022-12-25,09:14:40,21.9,94
153,2022-12-25,09:14:52,21.9,94
154,2022-12-25,09:15:04,21.9,94
155,2022-12-25,09:15:16,21.9,94
156,2022-12-25,09:15:28,21.9,94
157,2022-12-25,09:15:41,21.9,94
158,2022-12-25,09:15:52,21.9,94
159,2022-12-25,09:16:04,21.9,94
160,2022-12-25,09:16:16,21.9,94
161,2022-12-25,09:16:34,21.9,94
162,2022-12-25,09:16:46,21.9,94
163,2022-12-25,09:16:59,21.9,94
164,2022-12-25,09:17:11,21.9,94
165,2022-12-25,09:17:27,21.9,94
166,2022-12-25,09:17:40,21.9,94
167,2022-12-25,09:17:52,21.9,94
168,2022-12-25,09:18:04,21.9,94
169,2022-12-25,09:18:23,21.9,94
170,2022-12-25,09:18:37,22,95
171,2022-12-25,09:18:49,21.9,94
172,2022-12-25,09:19:02,21.9,94
173,2022-12-25,09:19:14,21.9,94
174,2022-12-25,09:19:31,21.9,94
175,2022-12-25,09:19:43,21.9,94
176,2022-12-25,09:19:56,21.9,94
177,2022-12-25,09:20:08,21.9,94
178,2022-12-25,09:20:21,21.9,94
179,2022-12-25,09:20:33,21.9,94
180,2022-12-25,09:20:51,21.9,94
181,2022-12-25,09:21:03,22,95
182,2022-12-25,09:21:15,21.9,94
183,2022-12-25,09:21:27,21.9,94
184,2022-12-25,09:21:39,22,95
185,2022-12-25,09:21:53,21.9,94
186,2022-12-25,09:22:06,21.9,94
187,2022-12-25,09:22:16,21.9,94
188,2022-12-25,09:22:28,21.9,94
189,2022-12-25,09:22:40,22,95
190,2022-12-25,09:22:52,21.9,94
191,2022-12-25,09:23:04,21.9,94
192,2022-12-25,09:23:19,21.9,94
193,2022-12-25,09:23:31,21.9,94
194,2022-12-25,09:23:47,22,95
195,2022-12-25,09:23:59,22,95
196,2022-12-25,09:24:12,22,95
197,2022-12-25,09:24:23,21.9,94
198,2022-12-25,09:24:49,21.9,94
199,2022-12-25,09:25:01,22,95
200,2022-12-25,09:25:14,21.9,94
201,2022-12-25,09:25:27,22,95
202,2022-12-25,09:25:40,21.9,94
203,2022-12-25,09:25:52,22,95
204,2022-12-25,09:26:04,21.9,94
205,2022-12-25,09:26:17,22,95
206,2022-12-25,09:26:29,21.9,94
207,2022-12-25,09:26:41,22,95
208,2022-12-25,09:26:53,21.9,94
209,2022-12-25,09:27:04,21.9,94
210,2022-12-25,09:27:16,21.9,94
211,2022-12-25,09:27:42,22,95
212,2022-12-25,09:27:54,21.9,94
213,2022-12-25,09:28:06,22,95
214,2022-12-25,09:28:19,22,95
215,2022-12-25,09:28:31,22,95
216,2022-12-25,09:28:53,22,95
217,2022-12-25,09:29:04,22,95
218,2022-12-25,09:29:17,22,95
219,2022-12-25,09:29:17,22,95
220,2022-12-25,09:29:46,22,95
221,2022-12-25,09:29:58,22,95
222,2022-12-25,09:30:10,22,95
223,2022-12-25,09:30:22,22,95
224,2022-12-25,09:31:02,22,95
225,2022-12-25,09:31:14,22,95
226,2022-12-25,09:31:26,22,95
227,2022-12-25,09:31:39,22,95
228,2022-12-25,09:32:09,22,95
229,2022-12-25,09:32:21,22,95
230,2022-12-25,09:32:33,22,95
231,2022-12-25,09:32:45,22,95
232,2022-12-25,09:32:57,22,95
233,2022-12-25,09:33:09,22,95
234,2022-12-25,09:33:21,22,95
235,2022-12-25,09:33:34,22,95
236,2022-12-25,09:33:45,22,95
237,2022-12-25,09:34:01,22,95
238,2022-12-25,09:34:13,22,95
239,2022-12-25,09:34:25,22,95
240,2022-12-25,09:34:37,22,95
241,2022-12-25,09:34:48,22,95
242,2022-12-25,09:35:00,22.1,95
243,2022-12-25,09:35:12,22,95
244,2022-12-25,09:35:23,22,95
245,2022-12-25,09:35:36,22,95
246,2022-12-25,09:35:47,22,95
247,2022-12-25,09:36:00,22,95
248,2022-12-25,09:36:13,22,95
249,2022-12-25,09:36:25,22,95
250,2022-12-25,09:36:37,22,95
251,2022-12-25,09:36:49,22.1,95
252,2022-12-25,09:37:02,22,95
253,2022-12-25,09:37:14,22,95
254,2022-12-25,09:37:26,22,95
255,2022-12-25,09:37:37,22,95
256,2022-12-25,09:37:49,22,95
257,2022-12-25,09:38:01,22,95
258,2022-12-25,09:38:13,22,95
259,2022-12-25,09:38:25,22,95
260,2022-12-25,09:38:53,22,95
261,2022-12-25,09:39:05,22,95
262,2022-12-25,09:39:17,22.1,95
263,2022-12-25,09:39:30,22,95
