times,day,time,temp,hr
1,2022-12-25,00:07:55,22.3,95
2,2022-12-25,00:08:07,22.3,95
3,2022-12-25,00:08:19,22.3,95
4,2022-12-25,00:08:30,22.3,95
5,2022-12-25,00:08:42,22.3,95
6,2022-12-25,00:08:55,22.3,95
7,2022-12-25,00:09:07,22.3,95
8,2022-12-25,00:09:19,22.3,95
9,2022-12-25,00:09:31,22.3,95
10,2022-12-25,00:09:43,22.3,95
11,2022-12-25,00:09:55,22.3,95
12,2022-12-25,00:10:06,22.3,95
13,2022-12-25,00:10:18,22.3,95
14,2022-12-25,00:10:30,22.3,95
15,2022-12-25,00:10:43,22.3,95
16,2022-12-25,00:10:55,22.3,95
17,2022-12-25,00:11:08,22.3,95
18,2022-12-25,00:11:19,22.3,95
19,2022-12-25,00:11:32,22.3,95
20,2022-12-25,00:11:44,22.3,95
21,2022-12-25,00:11:57,22.3,95
22,2022-12-25,00:12:08,22.3,95
23,2022-12-25,00:12:21,22.3,95
24,2022-12-25,00:12:33,22.3,95
25,2022-12-25,00:12:45,22.3,95
26,2022-12-25,00:12:57,22.3,95
27,2022-12-25,00:13:09,22.3,95
28,2022-12-25,00:13:21,22.3,95
29,2022-12-25,00:13:33,22.3,95
30,2022-12-25,00:13:45,22.3,95
31,2022-12-25,00:13:56,22.3,95
32,2022-12-25,00:14:08,22.3,95
33,2022-12-25,00:14:20,22.3,95
34,2022-12-25,00:14:32,22.3,95
35,2022-12-25,00:14:44,22.3,95
36,2022-12-25,00:14:56,22.3,95
37,2022-12-25,00:15:08,22.3,95
38,2022-12-25,00:15:21,22.3,95
39,2022-12-25,00:15:33,22.3,95
40,2022-12-25,00:15:45,22.3,95
41,2022-12-25,00:15:56,22.3,95
42,2022-12-25,00:16:08,22.3,95
43,2022-12-25,00:16:20,22.3,95
44,2022-12-25,00:16:32,22.3,95
45,2022-12-25,00:16:44,22.2,95
46,2022-12-25,00:16:56,22.3,95
47,2022-12-25,00:17:08,22.3,95
48,2022-12-25,00:17:19,22.3,95
49,2022-12-25,00:17:31,22.3,95
50,2022-12-25,00:17:43,22.3,95
51,2022-12-25,00:17:55,22.3,95
52,2022-12-25,00:18:07,22.3,95
53,2022-12-25,00:18:19,22.2,95
54,2022-12-25,00:18:32,22.3,95
55,2022-12-25,00:18:43,22.2,95
56,2022-12-25,00:18:58,22.2,95
57,2022-12-25,00:19:10,22.3,95
58,2022-12-25,00:19:21,22.2,95
59,2022-12-25,00:19:33,22.2,95
60,2022-12-25,00:19:46,22.2,95
61,2022-12-25,00:19:58,22.3,95
62,2022-12-25,00:20:09,22.2,95
63,2022-12-25,00:20:22,22.2,95
64,2022-12-25,00:20:34,22.2,95
65,2022-12-25,00:20:46,22.2,95
66,2022-12-25,00:20:58,22.2,95
67,2022-12-25,00:21:11,22.2,95
68,2022-12-25,00:21:22,22.2,95
69,2022-12-25,00:21:35,22.2,95
70,2022-12-25,00:21:47,22.2,95
71,2022-12-25,00:21:59,22.2,95
72,2022-12-25,00:22:11,22.2,95
