times,day,time,temp,hr
1,2022-12-05,19:35:55,24.8,95
2,2022-12-05,19:36:38,24.8,95
3,2022-12-05,19:36:42,24.8,95
4,2022-12-05,19:36:46,24.8,95
5,2022-12-05,19:36:50,24.8,95
6,2022-12-05,19:36:55,24.8,95
7,2022-12-05,19:36:58,24.8,95
8,2022-12-05,19:37:02,24.8,95
9,2022-12-05,19:37:06,24.8,95
10,2022-12-05,19:37:10,24.8,95
11,2022-12-05,19:37:13,24.8,95
12,2022-12-05,19:37:17,24.8,95
13,2022-12-05,19:37:21,24.9,95
14,2022-12-05,19:37:25,24.9,95
15,2022-12-05,19:37:30,24.8,95
16,2022-12-05,19:37:34,24.9,95
17,2022-12-05,19:37:38,24.9,95
18,2022-12-05,19:37:42,24.9,95
19,2022-12-05,19:37:46,25,95
20,2022-12-05,19:37:49,25,95
21,2022-12-05,19:37:53,25.2,95
22,2022-12-05,19:37:57,25.3,95
23,2022-12-05,19:38:01,25.4,95
24,2022-12-05,19:38:05,25.3,95
25,2022-12-05,19:38:09,25.4,95
26,2022-12-05,19:38:13,25.4,95
27,2022-12-05,19:38:17,25.4,95
28,2022-12-05,19:38:21,25.3,95
29,2022-12-05,19:38:25,25.3,95
30,2022-12-05,19:38:29,25.3,95
31,2022-12-05,19:38:32,25.3,95
32,2022-12-05,19:38:36,25.3,95
33,2022-12-05,19:38:40,25.3,95
34,2022-12-05,19:38:44,25.3,95
35,2022-12-05,19:38:47,25.2,95
36,2022-12-05,19:38:51,25.2,95
37,2022-12-05,19:38:56,25.2,95
38,2022-12-05,19:39:00,25.2,95
39,2022-12-05,19:39:03,25.2,95
40,2022-12-05,19:39:07,25.1,95
41,2022-12-05,19:39:11,25.1,95
42,2022-12-05,19:39:15,25.1,95
43,2022-12-05,19:39:18,25.1,95
44,2022-12-05,19:39:22,25.1,95
45,2022-12-05,19:39:27,25.1,95
46,2022-12-05,19:39:32,25.1,95
47,2022-12-05,19:39:36,25.1,95
48,2022-12-05,19:39:40,25.1,95
49,2022-12-05,19:39:44,25.1,95
50,2022-12-05,19:39:47,25.1,95
51,2022-12-05,19:39:51,25.1,95
52,2022-12-05,19:39:55,25.1,95
53,2022-12-05,19:39:59,25,95
54,2022-12-05,19:40:03,25.1,95
55,2022-12-05,19:40:07,25.1,95
