times,day,time,temp,hr
1,12/27/2022,16:59:39,27.1,71
2,12/27/2022,19:28:58,25.6,75
3,12/27/2022,19:29:10,25.7,74
4,12/27/2022,19:29:25,25.8,74
5,12/27/2022,19:29:37,25.8,74
6,12/27/2022,19:29:50,25.8,73
7,12/27/2022,19:30:03,25.9,73
8,12/27/2022,19:30:16,25.9,73
9,12/27/2022,19:30:28,25.9,73
10,12/27/2022,19:30:42,25.9,73
11,12/27/2022,19:31:04,25.9,73
12,12/27/2022,19:31:23,25.9,72
13,12/27/2022,19:31:35,26,73
14,12/27/2022,19:31:48,25.9,72
15,12/27/2022,19:32:00,26,72
16,12/27/2022,19:32:12,26,72
17,12/27/2022,19:32:26,26,72
18,12/27/2022,19:32:38,26,72
19,12/27/2022,19:32:50,26,72
20,12/27/2022,19:33:03,26,72
21,12/27/2022,19:33:16,26,72
22,12/27/2022,19:33:30,26,72
23,12/27/2022,19:33:42,26,72
24,12/27/2022,19:33:55,26,72
25,12/27/2022,19:34:07,26.1,72
26,12/27/2022,19:34:20,26,72
27,12/27/2022,19:34:34,26,72
28,12/27/2022,19:34:49,26,72
29,12/27/2022,19:35:02,26,72
30,12/27/2022,19:35:14,26.1,72
31,12/27/2022,19:35:32,26,72
32,12/27/2022,19:35:44,26,72
33,12/27/2022,19:35:57,26,72
34,12/27/2022,19:36:12,26,72
35,12/27/2022,19:36:24,26,72
36,12/27/2022,19:36:36,26,72
37,12/27/2022,19:36:48,26,72
38,12/27/2022,19:37:03,26,72
39,12/27/2022,19:37:16,26,72
40,12/27/2022,19:37:28,26,72
41,12/27/2022,19:37:42,26,72
42,12/27/2022,19:37:58,26,73
43,12/27/2022,19:38:10,26,73
44,12/27/2022,19:38:22,26,73
45,12/27/2022,19:38:34,26,73
46,12/27/2022,19:38:46,26,73
47,12/27/2022,19:38:59,26,73
48,12/27/2022,19:39:13,26,73
49,12/27/2022,19:39:25,26,73
50,12/27/2022,19:39:38,26,73
51,12/27/2022,19:39:49,26,73
52,12/27/2022,19:40:01,26,73
53,12/27/2022,19:40:15,26,73
54,12/27/2022,19:40:27,26,73
55,12/27/2022,19:40:39,26,73
56,12/27/2022,19:40:51,26,73
57,12/27/2022,19:41:05,26,73
58,12/27/2022,19:41:17,26,73
59,12/27/2022,19:41:31,26,73
60,12/27/2022,19:41:46,26,73
61,12/27/2022,19:41:58,26,73
62,12/27/2022,19:42:12,26,73
63,12/27/2022,19:42:24,26,73
64,12/27/2022,19:42:37,26,73
65,12/27/2022,19:42:49,26,73
66,12/27/2022,19:43:04,26,73
67,12/27/2022,19:43:16,26,73
68,12/27/2022,19:43:31,26,73
69,12/27/2022,19:43:43,26,73
70,12/27/2022,19:43:57,26,73
71,12/27/2022,19:44:09,26,73
72,12/27/2022,19:44:21,26,73
73,12/27/2022,19:44:33,26,73
74,12/27/2022,19:44:45,26,73
75,12/27/2022,19:44:59,26,73
76,12/27/2022,19:45:12,26,73
77,12/27/2022,19:45:35,26,73
78,12/27/2022,19:45:47,26,73
79,12/27/2022,19:46:00,26,73
80,12/27/2022,19:46:13,26,73
81,12/27/2022,19:46:25,26,73
82,12/27/2022,19:46:38,26,73
83,12/27/2022,19:46:50,26,73
84,12/27/2022,19:47:02,26,73
85,12/27/2022,19:47:15,26,73
86,12/27/2022,19:47:27,26,73
87,12/27/2022,19:47:39,26,73
88,12/27/2022,19:47:51,26,73
89,12/27/2022,19:48:03,26,73
